Node,Depth,Value,Alpha,Beta
D1,3,108,54,62
B4,4,318,54,62
D1,3,108,54,62
D4,4,179,54,62
D1,3,108,54,62
E5,4,392,54,62
D1,3,108,54,62
C3,2,108,54,62
A2,1,62,54,62
A4,2,-Infinity,54,62
D1,3,Infinity,54,62
B3,4,221,54,62
D1,3,221,54,62
C3,4,270,54,62
D1,3,221,54,62
B4,4,357,54,62
D1,3,221,54,62
D4,4,168,54,62
D1,3,168,54,62
E5,4,431,54,62
D1,3,168,54,62
A4,2,168,54,62
A2,1,62,54,62
B4,2,-Infinity,54,62
D1,3,Infinity,54,62
B3,4,195,54,62
D1,3,195,54,62
C3,4,318,54,62
D1,3,195,54,62
A4,4,357,54,62
D1,3,195,54,62
D4,4,216,54,62
D1,3,195,54,62
E5,4,479,54,62
D1,3,195,54,62
B4,2,195,54,62
A2,1,62,54,62
D4,2,-Infinity,54,62
D1,3,Infinity,54,62
B3,4,266,54,62
D1,3,266,54,62
C3,4,179,54,62
D1,3,179,54,62
A4,4,168,54,62
D1,3,168,54,62
B4,4,216,54,62
D1,3,168,54,62
E5,4,290,54,62
D1,3,168,54,62
D4,2,168,54,62
A2,1,62,54,62
E5,2,-Infinity,54,62
D1,3,Infinity,54,62
B3,4,529,54,62
D1,3,529,54,62
C3,4,392,54,62
D1,3,392,54,62
A4,4,431,54,62
D1,3,392,54,62
B4,4,479,54,62
D1,3,392,54,62
D4,4,290,54,62
D1,3,290,54,62
E5,2,290,54,62
A2,1,62,54,62
root,0,62,62,Infinity
B3,1,Infinity,62,Infinity
D1,2,-Infinity,62,Infinity
A2,3,Infinity,62,Infinity
C3,4,-76,62,Infinity
A2,3,-76,62,Infinity
D1,2,-76,62,Infinity
C3,3,Infinity,62,Infinity
A2,4,-270,62,Infinity
C3,3,-270,62,Infinity
D1,2,-76,62,Infinity
A4,3,Infinity,62,Infinity
A2,4,-195,62,Infinity
A4,3,-195,62,Infinity
D1,2,-76,62,Infinity
B4,3,Infinity,62,Infinity
A2,4,-193,62,Infinity
B4,3,-193,62,Infinity
D1,2,-76,62,Infinity
D4,3,Infinity,62,Infinity
A2,4,-266,62,Infinity
D4,3,-266,62,Infinity
D1,2,-76,62,Infinity
E5,3,Infinity,62,Infinity
A2,4,-311,62,Infinity
E5,3,-311,62,Infinity
D1,2,-76,62,Infinity
B3,1,-76,62,Infinity
root,0,62,62,Infinity
C3,1,Infinity,62,Infinity
D1,2,-Infinity,62,Infinity
A2,3,Infinity,62,Infinity
B3,4,156,62,Infinity
A2,3,156,62,156
A4,4,58,62,156
A2,3,58,62,156
D1,2,58,62,Infinity
B3,3,Infinity,62,Infinity
A2,4,-270,62,Infinity
B3,3,-270,62,Infinity
D1,2,58,62,Infinity
A4,3,Infinity,62,Infinity
A2,4,-246,62,Infinity
A4,3,-246,62,Infinity
D1,2,58,62,Infinity
B4,3,Infinity,62,Infinity
A2,4,-224,62,Infinity
B4,3,-224,62,Infinity
D1,2,58,62,Infinity
D4,3,Infinity,62,Infinity
A2,4,-297,62,Infinity
D4,3,-297,62,Infinity
D1,2,58,62,Infinity
E5,3,Infinity,62,Infinity
A2,4,-294,62,Infinity
E5,3,-294,62,Infinity
D1,2,58,62,Infinity
C3,1,58,62,Infinity
root,0,62,62,Infinity
A4,1,Infinity,62,Infinity
D1,2,-Infinity,62,Infinity
A2,3,Infinity,62,Infinity
B3,4,163,62,Infinity
A2,3,163,62,163
C3,4,26,62,163
A2,3,26,62,163
D1,2,26,62,Infinity
B3,3,Infinity,62,Infinity
A2,4,-263,62,Infinity
B3,3,-263,62,Infinity
D1,2,26,62,Infinity
C3,3,Infinity,62,Infinity
A2,4,-246,62,Infinity
C3,3,-246,62,Infinity
D1,2,26,62,Infinity
B4,3,Infinity,62,Infinity
A2,4,-169,62,Infinity
B4,3,-169,62,Infinity
D1,2,26,62,Infinity
D4,3,Infinity,62,Infinity
A2,4,-242,62,Infinity
D4,3,-242,62,Infinity
D1,2,26,62,Infinity
E5,3,Infinity,62,Infinity
A2,4,-287,62,Infinity
E5,3,-287,62,Infinity
D1,2,26,62,Infinity
A4,1,26,62,Infinity
root,0,62,62,Infinity
B4,1,Infinity,62,Infinity
D1,2,-Infinity,62,Infinity
A2,3,Infinity,62,Infinity
B3,4,233,62,Infinity
A2,3,233,62,233
C3,4,264,62,233
A2,3,233,62,233
A4,4,-35,62,233
A2,3,-35,62,233
D1,2,-35,62,Infinity
B3,3,Infinity,62,Infinity
A2,4,-193,62,Infinity
B3,3,-193,62,Infinity
D1,2,-35,62,Infinity
C3,3,Infinity,62,Infinity
A2,4,-224,62,Infinity
C3,3,-224,62,Infinity
D1,2,-35,62,Infinity
A4,3,Infinity,62,Infinity
A2,4,-101,62,Infinity
A4,3,-101,62,Infinity
D1,2,-35,62,Infinity
D4,3,Infinity,62,Infinity
A2,4,-220,62,Infinity
D4,3,-220,62,Infinity
D1,2,-35,62,Infinity
E5,3,Infinity,62,Infinity
A2,4,-217,62,Infinity
E5,3,-217,62,Infinity
D1,2,-35,62,Infinity
B4,1,-35,62,Infinity
root,0,62,62,Infinity
D4,1,Infinity,62,Infinity
D1,2,-Infinity,62,Infinity
A2,3,Infinity,62,Infinity
B3,4,160,62,Infinity
A2,3,160,62,160
C3,4,191,62,160
A2,3,160,62,160
A4,4,62,62,160
A2,3,62,62,160
D1,2,62,62,Infinity
B3,3,Infinity,62,Infinity
A2,4,-266,62,Infinity
B3,3,-266,62,Infinity
D1,2,62,62,Infinity
C3,3,Infinity,62,Infinity
A2,4,-297,62,Infinity
C3,3,-297,62,Infinity
D1,2,62,62,Infinity
A4,3,Infinity,62,Infinity
A2,4,-242,62,Infinity
A4,3,-242,62,Infinity
D1,2,62,62,Infinity
B4,3,Infinity,62,Infinity
A2,4,-220,62,Infinity
B4,3,-220,62,Infinity
D1,2,62,62,Infinity
E5,3,Infinity,62,Infinity
A2,4,-290,62,Infinity
E5,3,-290,62,Infinity
D1,2,62,62,Infinity
D4,1,62,62,Infinity
root,0,62,62,Infinity
E5,1,Infinity,62,Infinity
D1,2,-Infinity,62,Infinity
A2,3,Infinity,62,Infinity
B3,4,115,62,Infinity
A2,3,115,62,115
C3,4,-22,62,115
A2,3,-22,62,115
D1,2,-22,62,Infinity
B3,3,Infinity,62,Infinity
A2,4,-311,62,Infinity
B3,3,-311,62,Infinity
D1,2,-22,62,Infinity
C3,3,Infinity,62,Infinity
A2,4,-294,62,Infinity
C3,3,-294,62,Infinity
D1,2,-22,62,Infinity
A4,3,Infinity,62,Infinity
A2,4,-287,62,Infinity
A4,3,-287,62,Infinity
D1,2,-22,62,Infinity
B4,3,Infinity,62,Infinity
A2,4,-217,62,Infinity
B4,3,-217,62,Infinity
D1,2,-22,62,Infinity
D4,3,Infinity,62,Infinity
A2,4,-290,62,Infinity
D4,3,-290,62,Infinity
D1,2,-22,62,Infinity
E5,1,-22,62,Infinity
root,0,62,62,Infinity
